,sentence,predicted_langugae,target_language
18382,menduré els marits també,Catalan,Catalan
18383,mensen geloofden dat creativiteit,Dutch,Dutch
18384,und weigerten sich,German,German
18385,wir schaffen das heutzutage nicht weil solarmodule,German,German
18386,allinterno di ogni struttura genetica,Italian,Italian
18387,vaig dir les meves oracions,Catalan,Catalan
18388,també som a lèpoca del coneixement numèric dun mateix,Catalan,Catalan
18389,mirem un moment la més gran icona de totes leonardo da vinci,Catalan,Catalan
18390,ainsi si vous souffrez dépilepsie et si vous avez le dispositif,French,French
18391,svaret til det er et rungende,Danish,Danish
18392,sobald sich die zellen geteilt haben,German,German
18393,jeg synes for det meste at bogen er bedre,Danish,Danish
18394,als was wir bezeichnet werden,German,German
18395,lorsque les amidons atteignent degrés,French,French
18396,oder männer ,German,German
18397,daken wit te verven of met groen te beplanten,Dutch,Dutch
18398,og vi skal forbinde begge niveauer,Danish,Danish
18399,que dona la casualitat que tinc i que cap a un paquet de cereals,Catalan,Catalan
18400,et tragique et atroce et tout ça,French,French
18401,lestrès perjudica la vostra salut,Catalan,Catalan
18402,in ihren gemeinden schulen im untergrund betrieben,German,German
18403,che lintegrale era unopzione più salutare,Italian,Italian
18404,hij schreef buitengewoon,Dutch,Dutch
18405,per a mi les paraules són,Catalan,Catalan
18406,ci ha aiutato molto,Italian,Italian
18407,de zakenbankiers die de wereld,Dutch,Dutch
18408,ou que foram violentadas em criança,Portuguese,Portuguese
18409,så hvis jeg kommer ned vil jeg shoppe lidt rundt,Danish,Danish
18410,für euch ist einer starken,German,German
18411,voglio che tu abbia questi soldi,Italian,Italian
18412,och fört bort oss för att ha sex med oss i pyramider,Swedish,Swedish
18413,i carregar amb aquest problema,Catalan,Catalan
18414,hier im vergleich zu einer ganzen nervenzelle,German,German
18415,ongeacht de groep waarin ze zaten en de veranderingen in de psa,Dutch,Dutch
18416,toen ik vertrok,Dutch,Dutch
18417,treballàvem juntes,Catalan,Catalan
18418,med så relativt lav produktivitet,Danish,Danish
18419,resurser till mediciner vi verkligen behöver,Swedish,Swedish
18420,som jag kan dela med mina elever,Swedish,Swedish
18421,do facto de que realmente nos amamos e queremos cuidar uns dos outros,Portuguese,Portuguese
18422,von spanien die da stehen,German,German
18423,ik moest van de meest depressieve mensen,Dutch,Dutch
18424,som takkede os for den tapre indsats vi viste,Danish,Danish
18425,dat je de brokstukken kunt oprapen,Dutch,Dutch
18426,och förresten,Swedish,Swedish
18427,può essere in un paniere può essere in una teglia per il pane ma lo mettiamo da qualche parte,Italian,Italian
18428,dat is een nieuw materiaal,Dutch,Dutch
18429,wir müssen darüber,German,German
18430,at lave af disse spørgsmål,Danish,Danish
18431,vetenskapen kan faktiskt förstå världen vi lever i,Swedish,Swedish
18432,e così ci vediamo lun laltro,Italian,Italian
18433,kan du få in trådlöst på dina proteser,Swedish,Swedish
18434,ja no diu jo vull fer això,Catalan,Catalan
18435,das beste und das schlechteste von uns beinhaltete,German,German
18436,rires,French,French
18437,decidides per el tribunal suprem,Catalan,Catalan
18438,i totes les altres coses que hi hagi,Catalan,Catalan
18439,för att leva år längre,Swedish,Swedish
18440,que tinha lugar no egito,Portuguese,Portuguese
18441,por outras palavras a taxa de crescimento,Portuguese,Portuguese
18442,pourquoi ne voudrions nous pas avoir un impact positif,French,French
18443,wat toen gebeurde was dat,Dutch,Dutch
18444,kan den spænde over fjerne landskaber,Danish,Danish
18445,com um espinafre seco e murcho,Portuguese,Portuguese
18446,oroväckande för vissa människor,Swedish,Swedish
18447,nous a pris par surprise,French,French
18448,till att återställa av ursprungliga prärieområden i delstaten washington,Swedish,Swedish
18449,der stammer fra i nærheden af bermuda vi ved at tsunamierne og jordskælvene,Danish,Danish
18450,potrei permettermelo,Italian,Italian
18451,ci si possono pagare le bollette,Italian,Italian
18452,sóc del parer,Catalan,Catalan
18453,men deres stafet er hurtigere,Danish,Danish
18454,genom alla våra digitala foton och kameror,Swedish,Swedish
18455,depuis personne na jamais skié ,French,French
18456,o caminho de volta a casa,Portuguese,Portuguese
18457,klapsalve,Danish,Danish
18458,wir müssen unsere nulltoleranzpolitik vorsichtig reevaluieren,German,German
18459,e as pedras se fixam novamente à superfície,Portuguese,Portuguese
18460,o de lexistència dun agermanament,Catalan,Catalan
18461,ils seront si petits ils seront intégrés dans nos vêtements dans notre environnement,French,French
18462,ne le reconnait plus il est un peu horrifié,French,French
18463,improvisada sobre les teves febleses personals,Catalan,Catalan
18464,compram quando precisam uma pessoa em alex,Portuguese,Portuguese
18465,et ces pertes demploi nous pouvons y remédier avec des emplois écologiques,French,French
18466,und sozusagen verstehen,German,German
18467,dinosaurer var et af dem,Danish,Danish
18468,alle tedtalks over eten,Danish,Dutch
18469,sono molto cosciente della mia responsabilità nel portarvi qui,Italian,Italian
18470,sont le cancer du sein et le cancer de la prostate,French,French
18471,latter,Danish,Danish
18472,que é um bocado tarde para mim,Portuguese,Portuguese
18473,uppgår till sju terabyte per sekund,Swedish,Swedish
18474,ze waren zo zeldzaam dat gekozen leden van het parlement,Dutch,Dutch
18475,op deze plek,Dutch,Dutch
18476,du meine güte,German,German
18477,vi har brug for den tiden er nu,Danish,Danish
18478,por muito mau que isto tudo seja,Portuguese,Portuguese
18479,jeg er ikke her i dag for at fortælle jer,Danish,Danish
18480,und an der seite eine hellorangene kachel sehen,German,German
18481,ne pouvezvous pas voir la réalité ,French,French
18482, por cento vai ser difícil,Portuguese,Portuguese
18483,un altro strumento disponibile,Italian,Italian
18484,a tecnologia com mais sucesso é a que não atrapalha,Portuguese,Portuguese
18485,vi kan faktiskt satsa på det,Swedish,Swedish
18486,att alla rör sig in i detta hit ner,Swedish,Swedish
18487,hoeveel gs,Dutch,Dutch
18488,un creatore di giochi della new school,Italian,Italian
18489,database generato collettivamente,Italian,Italian
18490,dans le train elle ma offert un cadeau ,French,French
18491,at trykke et andet menneskes hånd i seks sekunder,Danish,Danish
18492,hon var väldigt lång skulle jag säga,Swedish,Swedish
18493,comme deux amis qui parleraient au téléphone,French,French
18494,cest un libertaire,French,French
18495, zoals dit craquelépatroon ,Dutch,Dutch
18496,we gaan binnenkort ons nationaal museum bouwen om het verhaal,Dutch,Dutch
18497,sich um globale armut und aids,German,German
18498,latter,Danish,Danish
18499,wenn man an plastikverschmutzung,German,German
18500,erwartete ihren spruch,German,German
18501,bifald,Danish,Danish
18502,nei topi che non abortiscono,Italian,Italian
18503,was sie falsch machen,German,German
18504,tenslotte ontdekten we zelfs dat,Dutch,Dutch
18505,det här är allt jag har,Swedish,Swedish
18506,elk werk dat ik maak,Dutch,Dutch
18507,til at sætte nogle ting på som vil give det grundlæggende billede,Danish,Danish
18508,i simplement no en teniem prou per menjar,Catalan,Catalan
18509,gelach,Dutch,Dutch
18510,i malgrat la qualitat daquells llibres,Catalan,Catalan
18511,über videospiele zu schreiben diese themen sind verbannt,German,German
18512,une amie est venue me voir lannée dernière ,French,French
18513,que ce soit son programme ou sa suffisance architecturale,French,French
18514,jag såg i hennes ögon,Swedish,Swedish
18515,et eksempel er nært vores hjerte,Danish,Danish
18516, millions de plants de tomates ,French,French
18517,de fastlagda gränserna,Swedish,Swedish
18518,dass sie im grunde genommen,German,German
18519,era energia amore e gioia,Portuguese,Italian
18520,har en miljard dollar spårats till,Swedish,Swedish
18521,deshalb habe ich keine eile,German,German
18522,steve wozniak a inventé le premier ordinateur apple,French,French
18523,a prevenire lalzheimer,Italian,Italian
18524,op exact hetzelfde wordt geconcentreerd,Dutch,Dutch
18525,més enllà dels seus drets legals,Catalan,Catalan
18526,dan bestaat het leven uit alle mogelijke lijnen,Dutch,Dutch
18527,je ne suis pas vraiment sûr de la réponse,French,French
18528,jag försöker inte längre ha rätt,Swedish,Swedish
18529,come pensavamo allinizio oppure,Italian,Italian
18530,a imaginar ver essa mesma imagem,Portuguese,Portuguese
18531,era incrivelmente grande,Portuguese,Portuguese
18532,dies hier sind die bilder die automatisch kreiert werden,German,German
18533,maar depressie,Dutch,Dutch
18534,i ho he fet tan malament escollint homes en la meva vida,Catalan,Catalan
18535,jeg ved aldrig om den er tændt,Danish,Danish
18536,i això dóna un avantatge considerable a lagressor,Catalan,Catalan
18537,ces négociations ,French,French
18538,omdat cliff tabin een extra vleugel aan een kip had doen groeien,Dutch,Dutch
18539,é altamente processada,Portuguese,Portuguese
18540,som er ti milliarder gange mere lysende end planeten,Danish,Danish
18541,sabeu encara hi haurà diccionaris en paper,Catalan,Catalan
18542,enfouies à lintérieure mais la façon dont elles sont enseignées est compartimentée,French,French
18543,ha iniziato con le nostre prove,Italian,Italian
18544,und wir erkennen dass es viel mit kandidaten zu tun hat,German,German
18545,per informar les persones que més ho necessiten,Catalan,Catalan
18546,és el tipus de cercle complicat,Catalan,Catalan
18547,e quando expressaram as suas preferências,Portuguese,Portuguese
18548,un diverso tipo di prodotto culturale,Italian,Italian
18549,und brendan boyle rich crandall und ganz rechts ist eine person von der ich glaube,German,German
18550,som vid horisonten inte är bortom det där,Swedish,Swedish
18551,mentaliteit getuigt het is nogal arrogant,Dutch,Dutch
18552,ca així que aquesta seria la teva resposta als arguments den bjorn lomborg,Catalan,Catalan
18553,estava em filadélfia com,Portuguese,Portuguese
18554,in de klas,Dutch,Dutch
18555,fomentant aquesta recerca tan antiga,Catalan,Catalan
18556,bara öka medvetenheten,Swedish,Swedish
18557,porque isso era uma coisa que,Portuguese,Portuguese
18558,und die tatsache dass sie sich,German,German
18559,il y avait là lépicier du coin ,French,French
18560, anni della mia vita,Italian,Italian
18561,praten over de gevolgen van,Dutch,Dutch
18562,peutêtre estce parce que le féminisme,French,French
18563,al participant següent,Catalan,Catalan
18564,und irgendwie,German,German
18565,il giardinaggio è il mio graffitismo,Italian,Italian
18566,es podia convertir ara en un avantatge,Catalan,Catalan
18567,para nos lembrarem da tragédia da guerra,Portuguese,Portuguese
18568,var det troen at hvis man først havde en hjertesygdom kunne det kun blive værre,Danish,Danish
18569,som skapar krisen det här är bolivia,Swedish,Swedish
18570,hoe verhinderen we dat mensen,Dutch,Dutch
18571,et surtout répartir les ingrédients de manière homogène,French,French
18572,das taxas de juros e todo esse tipo de coisas,Portuguese,Portuguese
18573,dat blijft zo ongeacht wat mit en harvard,Dutch,Dutch
18574,in cima possiamo mettere leuropa orientale lasia orientale,Italian,Italian
18575,om nóg meer smaak uit dit graan te halen,Dutch,Dutch
18576,met inbegrip van sociale stimuli,Dutch,Dutch
18577,vielen dank für ihre aufmerksamkeit,German,German
18578,wat er verder gebeurde tijdens deze reizen ,Dutch,Dutch
18579,og vi kan se dem gentage sig selv,Danish,Danish
18580,circunstâncias difíceis,Portuguese,Portuguese
18581,met chemotherapie,Dutch,Dutch
18582,ca ce sont les yeux dune lotte vivante,French,French
18583,måste du betala skolavgifter,Swedish,Swedish
18584,depois de três anos à espera,Portuguese,Portuguese
18585,voilà un tuyau pour vous tous,French,French
18586,e questo è quello che ho scoperto a boston,Italian,Italian
18587,en in het geval van uruguay,Dutch,Dutch
18588,bosniërs kroaten en serviërs vinden,Dutch,Dutch
18589,mijn naam is willie brown,Dutch,Dutch
18590,ei teniu bon aspecte allà a baix,Catalan,Catalan
18591,da det nu var imod loven,Danish,Danish
18592,por nos darem alguma pistas sobre como o nosso cérebro funciona,Portuguese,Portuguese
18593,els diccionaris realment no han canviat,Catalan,Catalan
18594,det enda som är kvar,Swedish,Swedish
18595,jeg mener jeg er dermatolog,Danish,Danish
18596,e vejam os caminhos que a célula fabrica ,Portuguese,Portuguese
18597,do reino unido,Portuguese,Portuguese
18598,det var det jag är jag ska bli jonglör,Swedish,Swedish
18599,man kender et faktum om beatles,Danish,Danish
18600,og selv begynde at arbejde på projektet,Danish,Danish
18601,als je verkeerd landt die zijn dus veel veiliger,Dutch,Dutch
18602,wo ein basketballtrainer,German,German
18603,mit einem funier des selben holzes das im rest des saals verwendet wurde,German,German
18604,secondo lfbi,Italian,Italian
18605,para sumo eu essência,Portuguese,Portuguese
18606,ben ik de enige die dit ziet,Dutch,Dutch
18607,och som de mycket intelligenta civiliserade,Swedish,Swedish
18608,tôt ou tard,French,French
18609,om je een eenvoudig voorbeeld te geven,Dutch,Dutch
18610,ett företag som försöker göra det på rätt sätt,Swedish,Swedish
18611, bländande vitt ,Swedish,Swedish
18612,voldria que miressin aquest nadó,Catalan,Catalan
18613,aus vereinen wurden hunderte dann tausende,German,German
18614,dat we gaan afrekenen met armoede gezwoeg,Dutch,Dutch
18615,plats för massa jord,Swedish,Swedish
18616,podíamos resolver o problema,Portuguese,Portuguese
18617,hmm det lyder dejligt men det er utopisk,Danish,Danish
18618,i les persones que ens donen aquesta capacitat,Catalan,Catalan
18619,des groupes de gens heureux et de gens malheureux,French,French
18620,die langs het tafeltje liep waar ik aan zat,Dutch,Dutch
18621,e para que eles possam seguir em frente,Portuguese,Portuguese
18622,for de mennesker i deres distrikt,Danish,Danish
18623,nous connaissons cela ici en inde cela sappelle un hindi,French,French
18624,molto diverso da quella che pratichiamo oggi,Italian,Italian
18625,ich fragte sie wie viele von ihnen fügen jetzt nicht,German,German
18626,aber ich weiß das wir uns die struktur des aufstands ansehen sollten,German,German
18627,we maken onderscheid tussen praten op diplomatiek niveau,Dutch,Dutch
18628,e cosa si fa con i rifiuti che sono già stati prodotti,Italian,Italian
18629,en dingen die gebeuren in mijn leven,Dutch,Dutch
18630,om mee te experimenteren en zo te leren,Dutch,Dutch
18631,men i slutänden säger vi mindre,Swedish,Swedish
18632,till exempel dan pinks föredrag om motivation,Swedish,Swedish
18633,mit ausnahme von mir,German,German
18634,con i parlanti cinesi qui presenti,Italian,Italian
18635,recomendo pelo menos cinco minutos por dia mas não há dose máxima,Portuguese,Portuguese
18636,vårt batteri kan hantera väldigt höga temperaturökningar,Swedish,Swedish
18637,runt världen,Swedish,Swedish
18638,och alla inte behöver inte gå nu,Swedish,Swedish
18639,a poesia apenas diz as mesmas coisas de maneiras diferentes,Portuguese,Portuguese
18640,i årevis har jeg fortalt mennesker at stress gør en syg,Danish,Danish
18641,et je le fais sentrechoquer tellement fort,French,French
18642,ma la cosa ancora più sorprendente,Italian,Italian
18643,het hele verhaal begint,Dutch,Dutch
18644,applåder,Swedish,Swedish
18645,et sattendent à ce que je dise,French,French
18646,soms folteren de bewakers gevangenen,Dutch,Dutch
18647,varenda en av dem i rött,Swedish,Swedish
18648,lintenzione è di vedere come queste si muovono,Italian,Italian
18649,så jag kom på ett sätt att presentera dem för varandra genom fotografier,Swedish,Swedish
18650,avevamo iniziato così quando un giorno,Italian,Italian
18651,havde beskadiget sit stemmebånd og hun kunne ikke tale,Danish,Danish
18652,em quase todas as ruas pricipais de paris,Portuguese,Portuguese
18653,isto é provavelmente o motivo pelo qual eu nao tive probelmas sobre o tamanho da minha pista,Portuguese,Portuguese
18654,og pludselig død med til procent,Danish,Danish
18655,skilsmässor smittar,Swedish,Swedish
18656,obrigado por me emprestarem os vossos ouvidos hoje,Portuguese,Portuguese
18657,dat zou ik wel willen,Dutch,Dutch
18658,pour lire le coran,French,French
18659,för vi har alla sett bevis för,Swedish,Swedish
18660,ma dit un jour,French,French
18661,que ce soit avec un jouet lors dun anniversaire ou en vacances,French,French
18662,het volgende verhaal heet,Dutch,Dutch
18663,du fick två rätt du svarade inte fel på allt,Swedish,Swedish
18664,och också preventivmedel ,Swedish,Swedish
18665,en tant québoueur,French,French
18666,a uns deu carrers daquí,Catalan,Catalan
18667,dat je chic en werelds was,Dutch,Dutch
18668,la pâte à modeler,French,French
18669,ram dass diu que la dependència,Catalan,Catalan
18670,und wir müssen auch über,German,German
18671,vi immaginate il rumore che fa,Italian,Italian
18672,à cause de cette belle créature,French,French
18673,dejligt at se dig hr du har en ring et ur,Danish,Danish
18674,im zentrum unserer galaxie oder irgendeines in unserem universum,German,German
18675,boom  cm,Portuguese,Portuguese
18676,profiteert enorm van technologie,Dutch,Dutch
18677,os seres humanos sempre contaram,Portuguese,Portuguese
18678,de wangari maathai somaly mam jenny e rose mapendo,Portuguese,Portuguese
18679,anda,Portuguese,Portuguese
18680,connues pour leur problèmes,French,French
18681,einer langen serie technologischer triumphe,German,German
18682,legte einen schalter an der decke vom cockpit um,German,German
18683,applaus,Dutch,Dutch
18684,lo mandano in iraq,Italian,Italian
18685, jaar langer leven dan alle anderen,Dutch,Dutch
18686,cependant elles ne peuvent pas bouger dune fleur à une autre,French,French
18687,temos mais de fazer mais de um sumário por cada talk,Portuguese,Portuguese
18688,elle a un conseil des ministres,French,French
18689,und ich stöhnte oh mein gott,German,German
18690,kina er ikke som vesten,Danish,Danish
18691,així per exemple si tinc,Catalan,Catalan
18692,quina és la probabilitat que no fem encara més errors,Catalan,Catalan
18693,logo após concluir esta experiência,Portuguese,Portuguese
18694,a tradurre il web in tutte le principali lingue,Italian,Italian
18695,tráfico sexual é aquilo em que,Portuguese,Portuguese
18696,ich spiele nun schon fast zehn jahre lang für ted,German,German
18697,encara pot tenir èxit amb els seus accionistes,Catalan,Catalan
18698,mm parte immediatamente,Portuguese,Italian
18699,grâce à toute cette géométrie,French,French
18700,eu estou aqui o de azul não o de amarelo,Portuguese,Portuguese
18701,així com nosaltres ens adaptem a ell,Catalan,Catalan
18702,bei vielen raumanzügen sieht,German,German
18703,não apenas podemos criar uma prótese para os invisuais,Portuguese,Portuguese
18704,og det er baseret på teorien om,Danish,Danish
18705,baseret på en facet af min karakter,Danish,Danish
18706,das wort konzeptgrafik ist notwendige,German,German
18707,er de næststørst i usa,Danish,Danish
18708,assequible i accesible per a tothom,Catalan,Catalan
18709,jeg gjorde hvad de fleste af os gør jeg prøvede det af på mine kollegaer,Danish,Danish
18710,fordi det er hvad du gør når dit,Danish,Danish
18711,jm nu lite karriärrådgivning,Swedish,Swedish
18712,lachen,German,German
18713,oltre le malattie infantili,French,Italian
18714,tre giorni di lungo viaggio,Italian,Italian
18715,bg det förvånar mig inte på grund av ,Swedish,Swedish
18716,o que parece um produto muito desengonçado,Portuguese,Portuguese
18717,atleter som den spanske udholdenhedsløber killian jornet,Danish,Danish
18718,par exemple prenons laire,French,French
18719,questo futuro certo sta guardando indietro anni,Italian,Italian
18720,nun sie hatte ein,German,German
18721,wie man sieht bin ich,German,German
18722,elle est de  c ceci est pertinent au vu de notre stratégie actuelle,French,French
18723,die alle nach einem westlichen einkommen streben,German,German
18724,und ich mag auch rockn roll,German,German
18725,vi finder ikke engang døde kroppe,Danish,Danish
18726,porque na realidade o que,Portuguese,Portuguese
18727,auch wenn die katholische kirche,German,German
18728,waar de ouders elkaar zaten te verwijten,Dutch,Dutch
18729,même dans mes jours les plus difficiles,French,French
18730,altri invece diranno,Italian,Italian
18731,quer fazer a coisa certa,Portuguese,Portuguese
18732,voglio creare un oggetto come voi e me,Italian,Italian
18733,mr potato head skall du tvinga oss woody,Swedish,Swedish
18734,eles têm mais do que o governo,Portuguese,Portuguese
18735,som vi oplever ved disse følelsesmæssige dele af fortrydelse,Danish,Danish
18736,hon hette alice stewart,Dutch,Swedish
18737,ela conseguiu antecipar a estratégia deles e as suas intenções,Portuguese,Portuguese
18738,aber doch kein problemlöser,German,German
18739,det är en sorts passion som kommer sig av,Swedish,Swedish
18740,weil dies nicht nur die frage beantwortet,German,German
18741,tiden vi lagt ned på att spela spel,Swedish,Swedish
18742,was enorm,German,Dutch
18743,maar de stilte was geen gebrek aan geluid,Dutch,Dutch
18744,wie die saiten einer geige,German,German
18745,was stimmt daran nicht,German,German
18746,bonus in physischer widerstandskraft gut gemacht,German,German
18747,mænd hører ikke til det der er tydeligt,Danish,Danish
18748,ce nest pas tout ,French,French
18749,kompromisslöst belyser avgörande frågor,Swedish,Swedish
18750,de façon complètement improbable cette chorale lgbt lesbienne gay bisexuelle et transexuelle,French,French
18751,en de new orleans ochtendzon flikkerde door de gordijnen,Dutch,Dutch
18752,ik vertel verhalen op een ongebruikelijke manier,Dutch,Dutch
18753,a questi cambiamenti profondi,Italian,Italian
18754,de alá alá alá para olé olé olé,Portuguese,Portuguese
18755,so können sie sehen,German,German
18756,ik was niet eens dichtbij gekomen,Dutch,Dutch
18757,va ser terrible,Catalan,Catalan
18758,misslyckandet blir desto mer totalt,Swedish,Swedish
18759,dat wil zeggen extreem klein zoals je hier kunt zien,Dutch,Dutch
18760,risate,Italian,Italian
18761,mesmo as empresas com boas intenções,Portuguese,Portuguese
18762,via hun verstrengelde takken,Dutch,Dutch
18763,det är slöseri med yta,Swedish,Swedish
18764,per la xarxa de la desesperança i el desànim,Catalan,Catalan
18765,não há desemprego nos bairros de lata todos trabalham,Portuguese,Portuguese
18766,òbviament a aquell paio li va costar ferlo,Catalan,Catalan
18767,och det är sekunder kvar på klockan ,Swedish,Swedish
18768,was mir als ein treuhänder von kew sehr bewusst ist,German,German
18769,och för varje minut av smärta som patient a genomled,Swedish,Swedish
18770,ze willen een evenwichtige balans,Dutch,Dutch
18771,je veux planter un potager,French,French
18772,mitjançant detecció de moviments simple amb aparells de cent euros,Catalan,Catalan
18773,og vores regering endda indtil nu,Danish,Danish
18774,a vegades donem el nostre poder descollir a algú altre,Catalan,Catalan
18775,no importa quin país estudiem ni quin idioma utilitzem,Catalan,Catalan
18776,vad är det egentligen som,Swedish,Swedish
18777,foi o dobro  cêntimos por folha,Portuguese,Portuguese
18778,en veel van de andere sociale bijproducten cognitief emotioneel en fysiek ,Dutch,Dutch
18779,e disse genug ist genug ora basta,German,Italian
18780,podem veure que la cosa comença,Catalan,Catalan
18781,e não há mundo o que existe são apenas,Portuguese,Portuguese
18782,progresso,Portuguese,Italian
18783,i la qüestió és que pels nens,Catalan,Catalan
18784,sind wir nachdenklich,German,German
18785,isto são dados estatística o que pode dizernos acerca destes conflitos,Portuguese,Portuguese
18786,den form for liv som indeholder mest af den genetiske information på vores planet,Danish,Danish
18787,dollars i dagens valuta,Catalan,Danish
18788,det er den store gensamling,Danish,Danish
18789,se sont mis à inverser la progression de leur maladie,French,French
18790,en dat je dit nodig hebt om jezelf te kunnen zien,Dutch,Dutch
18791,alla rivoluzione industriale,Italian,Italian
18792,um tsunami de perguntas sairam,Portuguese,Portuguese
18793,oförmögen att prata,Swedish,Swedish
18794,og yderligere tre millioner vil have parkinsons,Danish,Danish
18795,niet willen praten met de representatieve groepen,Dutch,Dutch
18796,perché riprendeva dallaltro,Italian,Italian
18797, chili quasi libbre,Italian,Italian
18798,aplaudeixen,Catalan,Catalan
18799,mas o consumo total de energia,Portuguese,Portuguese
18800,um mundo de compreensão e um mundo de paz,Portuguese,Portuguese
18801,per anar a lescola dòpera,Catalan,Catalan
18802,dass es einen klaren aufwärtstrend in afrikanischen ländern gibt,German,German
18803,la comunità artigiana della preparazione del pane,Italian,Italian
18804,kontrollerar ditt beteende,Swedish,Swedish
18805,ik vind taskrabbit en vergelijkbare voorbeelden,Dutch,Dutch
18806,dellomaggio al film stesso che è venuto fuori con questo,Italian,Italian
18807,ma non basta,Italian,Italian
18808,gelach,Dutch,Dutch
18809,dass sie sich mit abstraktionen,German,German
18810,aplaudiments,Catalan,Catalan
18811,donc ceci a créé des battements de coeur photographiques,French,French
18812,aber in seiner rolle hat er uns die einrichtung für die demokratie,German,German
18813,també ha sigut sempre el gran amor de la meua vida i la meua fascinació,Catalan,Catalan
18814,de uma forma na qual as nossas palavras,Portuguese,Portuguese
18815, par chance estce que tu aurais gardé des tissus congelés de cette grenouille  ,French,French
18816,der erfinder und die ingenieure,German,German
18817,mapas como este tornarão possível,Portuguese,Portuguese
18818,bei dem sie sichuan alligator und süßsauren flusskrebs servieren oder,German,German
18819,vu les circonstances,Catalan,French
18820,et que tout à coup des masses de gens laissaient des milliers et des milliers,French,French
18821,nu er dette en myg der kom ligesom dens navn antyder,Danish,Danish
18822,amb més secrets,Catalan,Catalan
18823,avec vous,French,French
18824,mare per què tallaves el final del pernil quan cuinaves un pernil,Catalan,Catalan
18825,für diese klimakrise knüpften wir ein richtiges netzwerk aus kontakten,German,German
18826,måske endnu mere overraskende,Danish,Danish
18827,jeg sagde nej jeg kan ikke bruge mine ben,Danish,Danish
18828,er det en kæmpe forskel,Danish,Danish
18829,genom att knyta samman de två punkterna,Swedish,Swedish
18830,med tekniska teman,Swedish,Swedish
18831,e comecem com isso para acolher o doente na equipa,Portuguese,Portuguese
18832,dus de hogere niveaus vertegenwoordigen een factor of hoger,Dutch,Dutch
18833,pour les gens pauvres,French,French
18834,vid ett rimligt brytvärde,Swedish,Swedish
18835,jamen du beskriver et klassisk ritual,Danish,Danish
18836,com uma pitada de sal,Portuguese,Portuguese
18837,men låt mig varna er det är thaistorlek på dem,Swedish,Swedish
18838,eller ha nytta av tekniken,Swedish,Swedish
18839,o conselho militar,Portuguese,Portuguese
18840,jag tror att något behövs göras angående detta,Swedish,Swedish
18841,ma che è certamente molto alto,Italian,Italian
18842,zehn jahren mit leuten gearbeitet zu haben,German,German
18843,videnskab har påvist,Danish,Danish
18844,descartes gelach,Dutch,Dutch
18845,mas nós não as experienciamos só nós mostramolas,Portuguese,Portuguese
18846,quen dépit de nos intuitions y compris les miennes,French,French
18847,wäre es nicht toll,German,German
18848,pot transformar la nostra experiència amb lestrès,Catalan,Catalan
18849,der grund warum dies vernünftig erscheint ist,German,German
18850,plätschern und fließen,German,German
18851,un enorme creixement de la seva riquesa,Catalan,Catalan
18852,har inte kommit från vattentester,Swedish,Swedish
18853,sulla capacità di sviluppare farmaci,Italian,Italian
18854,mi serviva un contesto di altre vagine una comunità una cultura di vagine,Italian,Italian
18855,e que nos maravilhavam,Portuguese,Portuguese
18856,se andarem assim está bem conseguem andar,Portuguese,Portuguese
18857,måste du jobba hårdare än nånsin,Swedish,Swedish
18858,o que é que fazem eu digovos o que fiz e porque o fiz e eu sei que o meu tempo está a acabar,Portuguese,Portuguese
18859,van codificar una versió del ngram viewer per al gran públic,Catalan,Catalan
18860,men först skulle jag vilja avslöja några vanliga myter,Swedish,Swedish
18861,han siger ser i da hun sagde godmorgen,Danish,Danish
18862,merci beaucoup,French,French
18863,misschien denk je,Dutch,Dutch
18864,les premières semaines,French,French
18865,zumindest sagt der produzent sie würden den teig verfeinern,German,German
18866,i després amb el plat dels negocis,Catalan,Catalan
18867,gelächter,German,German
18868,unsere neugeborene unsere säuglinge,German,German
18869,så hvordan ser vi vi ser ved at lære at se,Danish,Danish
18870,og halvhjertet kristendom,Danish,Danish
18871,ces questions vraiment graves auxquels le consommateur moderne est confronté,French,French
18872,jag vet vad hon vill att vi gör med dessa minutrar,Swedish,Swedish
18873,niet meer in één rechte lijn in één richting,Dutch,Dutch
18874,esperem que un grup es comporti diferent que laltre,Catalan,Catalan
18875,til sidst endte jeg med at støde ind i psykologi ved et tilfælde,Danish,Danish
18876,e as alturas mostramnos a amplitude,Portuguese,Portuguese
18877, tu devrais savoir ça aussi,French,French
18878,mens du ventede på at de skulle kigge væk,Danish,Danish
18879,fosse cresciuto nelle nostre colture,Italian,Italian
18880,quand on doit dire,French,French
18881,jb richard serra le dit avec tant de nonchalance,French,French
18882,und die golfküste von hurrikan,German,German
18883,es sind zweckentfremdete fischerboote,German,German
18884,jeg ved at mange folk ikke har haft muligheden,Danish,Danish
18885,e vi spiegherò tra un attimo che cosa questo voglia realmente dire,Italian,Italian
18886,jusquà obtenir un poste lucratif,French,French
18887,applåder,Swedish,Swedish
18888,il faire des pieds et des mains pour avoir un téléphone,French,French
18889,e nessuno si interessa delle piante,Italian,Italian
18890,en nivå över politik ,Swedish,Swedish
18891,qui peut comprendre ce quon dit,French,French
18892,donc dans le second cas de cette expérience cest précisément ce que lon a fait,French,French
18893,solia mirar pel microscopi del meu pare,Catalan,Catalan
18894,og dem kalder vi ambiverter,Danish,Danish
18895,est en gros le déni,French,French
18896,oh são bastantes,Portuguese,Portuguese
